case_num,publication_num,decision_date,court_provided_header,court_provided_keywords,court_provided_class,legal_area,applicant_names,applicant_class,respondent_names,respondent_class
T 31581-12,NJA 2012 s. 623,2012-10-17,Inhibition. Fråga om ett tillstånd enligt miljöbalken bör få tas i anspråk trots att tillståndsdomen har överklagats.,"Miljömål, Miljöbalken, Inhibition, Verkställighetsförordnande",T,"11,1","Naturvårdsverket, Region Gotland, miljö- och hälsoskyddsnämnden",Xs,Nordkalk AB,Cs
T 31582-12,NJA 2013 s. 613,2013-06-18,"Om en sökande begär tillstånd till en verksamhet som kan påverka ett Natura 2000-område, ska domstolen göra en samlad bedömning som uppfyller unionsrättens krav på fullständighet, exakthet och slutlighet. Detta har ansetts gälla också när tillåtligheten har prövats i en särskild dom som har vunnit laga kraft. Den samlade bedömningen ska i sådana fall ske vid den efterföljande tillståndsprövningen utan hinder av tillåtlighetsdomen.","Miljöbalken, Miljömål, Rättskraft, Särskild dom, Tillåtlighet, Art- och habitatdirektivet",T,11,Nordkalk,Cs,N/A,
T 3174-16,NJA 2017 s 669,2017-08-18,Olovlig parkering. En skyltning med vägmärken som har skett enligt vägmärkesförordningen har uppfyllt kravet på tydlighet i 3 § lagen om kontrollavgift vid olovlig parkering.,"Parkering, Kontrollavgift",T,6,C.-G.N.,Pm,Borås kommuns parkeringsaktiebolag,Cs
T 3281-12,NJA 2013 s. 1055,2013-12-10,Artiklarna 6.2 och 8 i Europakonventionen. I en rapport till socialnämnd enligt 14 kap. 1 § socialtjänstlagen (2001:453) uttalade en polis att en person gjort sig skyldig till våldsbrott innan skuldfrågan hade prövats av domstol. Uttalandet har inte ansetts kränka den utpekades rättigheter enligt artiklarna.,"Europakonventionen, Oskuldspresumtionen, Privatliv",T,5,E.H.,Pm,staten,Os
T 3322-11,NJA 2012 s. 464,2012-06-20,Vid beräkningen av ideell skada i form av lidande enligt lagen (1998:714) om ersättning för frihetsberövanden och andra tvångsåtgärder har tidigare frihetsberövande ansetts sakna betydelse för ersättningens storlek.,"Lidande: Ideell skada, Frihetsberövande",T,23,T.J.,Pm,staten genom Justitiekanslern,Os
T 3420-12,NJA 2014 s. 272,2014-04-17,Revisors skadeståndsansvar enligt 29 kap. 1 och 2 §§ aktiebolagslagen (2005:551) mot annan än bolaget på grund av brister i revisionen av en årsredovisning.,"Skadestånd, Aktiebolagslagen, Revisor, Tilli t , Ren förmögenhetsskada, Kausalitet, Årsredovisning",T,"23,7",Antilu Services OU,Cf,"BDO Nordic Stockholm AB,B.O.","Cs,Pm"
T 3445-15,NJA 2016 s. 1011,2016-11-22,Konsumenttjänst. Näringsidkaren har bevisbördan för att omständigheterna sammantagna är sådana att det begärda priset är skäligt.,"Bevisbörda, Konsument, Näringsidkare, Konsumenttjänst",T,6,Gripenhus i Sverige AB,Cs,Y.Ü.,Px
T 3459-10,NJA 2011 s. 399,2011-06-21,"När en god man utsetts för att sälja egendom enligt lagen (1904:48 s.1) om samäganderätt, är utgångspunkten att delägarna har ett solidariskt ansvar för ersättningen till den gode mannen.","Samäganderätt, God man, Solidariskt ansvar",T,19,Advokatbyrån Kaiding Kommanditbolag,Cs,G.S.,Pm
T 3470-10,NJA 2012 s. 211,2012-04-11,Statens skadeståndsansvar vid överträdelse av artikel 6.1 i Europakonventionen (I-II) .,"Statens skadeståndsansvar, Europakonventionen, Långsam handläggning",T,"23,18","Mattias Trafikskola AB,G.T.,M.S.","Cs,Pm,Pm","Staten genom Justitiekanslern,Staten genom Justitiekanslern  ","Os,Os"
T 3506-12,NJA 2013 s. 955,2013-11-19,"När ett barn bor växelvis hos sina föräldrar ska den förälder som har ett större ekonomiskt utrymme än den andre åläggas att betala underhållsbidrag till barnet enligt 7 kap. 6 § föräldrabalken, om barnet inte får det underhåll från föräldern som det har rätt till enligt 7 kap. 1 § samma balk.","Jämkning av underhållsbidrag, Underhållsskyldighet, Underhållsbidrag, Försumma underhållsskyldighet, Växelvis boende",T,12,M.A.,Pm,"N.A.,L.A.,V.A.","Px,Px,Px"
T 3508-11,NJA 2013 s. 51,2013-02-15,En båtägares skyldighet att på grund av egen oaktsamhet ersätta skada som har uppstått vid sammanstötning med en annan båt har ansetts vara underkastad sjölagspreskription.,"Preskription, Sjölagen, Fritidsbåt, Fartygssammanstötning, Ansvarsförsäkring, Skadereglering",T,"24,23",R.R.,Pm,C.E.,Pm
T 3564-16,NJA 2017 s. 760,2017-10-27,"Skiljeförfarande. Vid talan mot en skiljedom som innebär att förfarandet avslutas därför att en av parterna inte har ställt sin andel av säkerheten för skiljemännens ersättning, har det ansetts inte ankomma på domstol att pröva om säkerheten behövdes. Den part som inte ställde sin andel av säkerheten har vid fördelning av kostnaderna ansetts vara förlorande part.","Skiljeförfarande ,  Avskrivning ,  Förskott ,  Säkerhet ,  Rättegångskostnad",T,3,Scheme Ltd ,Cf,A.Z.L.,Pw
T 3576-11,NJA 2013 s. 762,2013-07-18,Offentlig upphandling. Frågor om skadestånd för utebliven vinst och för kostnader för överprövning av upphandlingsbeslut samt om ersättning för anbudskostnader.,"Offentlig upphandling, Skadestånd",T,"4,23",Fidelia Aktiebolag,Cs,staten genom Rikspolisstyrelsen,Os
T 3590-16,NJA 2017 s. 642,2017-07-11,Bevislättnad vid påstått försäkringsfall.,"Försäkringsersättning, Bevisbörda, Beviskrav, Konsumentförsäkring",T,23,R.M.,Pw,Gjensidige Forsikring ASA Norge (svensk filial),Cs
T 3638-15,NJA 2016 s. 981,2016-11-17,Preklusion enligt lagen om kallelse på okända borgenärer. Omständigheterna var inte sådana att det var visat att gäldenären känt till att det fanns en fordran. Preklusion hade därför inträtt av en fordran på skatt enligt skatteflyktslagen.,"Preklusion, Kallelseförfarande, Okända borgenärer, Skattefordran, Likvidation",T,"6,22",Gölab Handels AB i likvidation,Cs,Skatteverket,Oa
T 3679-11,NJA 2012 s. 1095,2012-12-21,Formkravet vid fastighetsköp. När ska en av såväl köpare som säljare undertecknad köpehandling anses ha getts ut så att avtalsbundenhet har uppstått? Jfr NJA 2000 s. 747 I och II.,"Formkrav, Avtalsbundenhet, Överförmyndare, Culpa in  c o ntrahend o , Skadestånd, Tillitsintresse",T,19,Dödsboet efter P.A.,Px,S.J.,Pm
T 3855-10,NJA 2011 s. 739,2011-11-07,Condictio indebiti . Skatteverket har ansetts återbetalningsskyldigt sedan en redovisningsbyrå på grund av misstag har betalat in skatt till fel skattekonto.,"Condictio   indebit , Skattekonto,  Misstagsbetalningi",T,0,Registreringstjänst E.O. Aktiebolag,Cs,staten genom Skatteverket,Os
T 390-15,NJA 2016 s. 51,2016-02-24,Verkan av överlåtelseförbud i avtal. Även fråga om skiljenämnd har överskridit sitt uppdrag.,"Överlåtelseförbud, Avtalstolkning, Skiljeförfarande, Rättsfaktum",T,"3,6",SOI Intressenter i Sverige AB,Cs,Saltkråkan AB,Cs
T 3973-15,NJA 2017 s. 1164,2017-12-29,"Privatkopieringsersättning. Ersättningsrätten kan omfatta en produkt som utgör en kombination av tekniskt fri-stående komponenter, även om ingen av dem eller bara en av dem är särskilt ägnad för privatkopiering. De belopp som anges i upphovsrättslagen utgör en utgångspunkt när nivån på ersättningen bestäms. Den ersättningsskyldige har bevisbördan för att det finns skäl för att sätta ned ersättningen.","Upphovsrätt, Privat bruk, Privatkopieringsersättning",T,14,Copyswede ekonomisk förening,Cs,Sony Mobile Communications AB,Cs
T 4073-15,NJA 2016 s. 1035,2016-12-14,Ersättning till ett offentligt biträde betalades inte i tid. Räntelagens principer för dröjsmålsränta har ansetts tillämpliga på biträdets fordran. Fordringen har i räntehänseende ansetts förfallen till betalning trettio dagar efter ersättningsbeslutet.,"Dröjsmålsränta, Offentligt biträde, Räntelagen",T,18,P.H.,Pm,Migrationsverket,Oa
T 4080-15,NJA 2016 s. 1195,2016-12-29,Vid en internetauktion har inga särskilda försäljningsvillkor utöver lägsta pris angetts. Avtal har ansetts uppkomma med den som lämnat högsta budet genom att den av säljaren angivna sluttiden för auktionen passerats.,"Auktion, Internet, Re  integra , Avtal",T,6,E.K.,Pw,E.L.,Pw
T 4170-12,NJA 2014 s. 545,2014-07-07,Utrymmet för en fastighetsägare att frånfalla ett medgivande till fastighetsreglering som har lämnats under förrättningen är starkt begränsat.,"Fastighetsbildning, Fastighetsreglering, Medgivande",T,19,"B.S.,J.R.S.,Y.S.,J.H.S.","Px,Px,Px,Px",Halmstads kommun,Om
T 4191-15,NJA 2017 s. 203,2017-03-30,"Ett mejeri har fått regelbundna leveranser av mjölk från ett lantbruk. Enligt en särskild prisöverenskommelse skulle mejeriet betala tilläggsersättning för KRAV-godkänd mjölk. Mejeriet har utan grund hävt överenskommelsen om tilläggsersättning. För att lantbrukarna skulle behålla sin rätt till tilläggsersättningen, har det krävts att de meddelade mejeriet att de inte accepterade hävningen.","Hävning, Reklamation",T,6,"A.F.,B.F.","Pm,Pm",Falköpings Mejeri ekonomisk förening,Cs
T 4323-11,NJA 2012 s. 584,2012-10-10,En trafikförsäkringsgivare får inte åberopa skadevållarens grova vårdslöshet gentemot en annan skadeståndsskyldig som framställer krav mot försäkringsgivaren efter att ha utgett skadestånd.,"Subrogrationsrätt, Återkrav, Trafikskadelagen, Trafikförsäkring",T,"23,24",SJ AB,Cs,Trygg-Hansa Försäkringsaktiebolag,Cs
T 44351-16,NJA 2017 s. 938,2017-11-24,Kränkningsersättning ska som utgångspunkt bestämmas efter de principer som gäller vid tiden för fastställande av ersättningen. Ersättning för sveda och värk ska som utgångspunkt bestämmas efter de principer som gällde vid tidpunkten för skadans uppkomst. (Jfr NJA 1997 s. 315.),"Skadeskånd, Kränkningsersättning, Sveda och värk",T,23,"åklagare,A,B","Oa,Px,Px",J.O.,Pm
T 462-11,NJA 2011 s. 267,2011-05-12,Hovrätten har ogillat en i hovrätten väckt talan utan att utfärda stämning i målet. Högsta domstolen har meddelat dom utan att delge motparten överklagandet.,"Överklagande, Kommunicering, Uppenbart ogrundat",T,18,"E.M.,J.-B.M.","Px,Px",staten,Os
T 462-16,NJA 2017 s. 343,2017-04-18,En fordran på kränkningsersättning kan inte överlåtas innan den har fastställts.,"Kränkningsersättning, Fordringsöverlåtelse, Överlåtelseförbud",T,6,Institutet för Juridik och Internet,Is,Ivstitia in Æternvm,Ix
T 463-12,NJA 2013 s. 1003,2013-11-22,Fråga om jämkning av ersättning enligt 6 § tredje stycket lagen (1998:714) om ersättning vid frihetsberövanden och andra tvångsåtgärder.,"Ersättning för frihetsberövande, Ersättning för häktning, Häktning, Långsam handläggning",T,23,B.-Å.E.,Pm,Justitiekanslern,Os
T 4726-12,NJA 2014 s. 537,2014-07-03,"Ackord i samband med företagsrekonstruktion. En borgenär har fått en fordring hos gäldenärsföretaget på grund av att företaget, efter det att rekonstruktionsförfarandet har inletts, underlät att fullfölja ett före förfarandet ingånget avtal. Fordringen har ansetts omfattad av ackordet.","Företagsrekonstruktion, Ackord, Fordring",T,10,MidCargo,Cs,Rörvik Timber Boxholm Aktiebolag,Cs
T 4816-12,NJA 2016 s. 288,2016-04-26,Tillämpning av utländsk rätt.,Utländsk rätt,T,"18,6",Berendsen Finance Limited,Cf,Aktiebolaget Electrolux,Cs
T 484-16,NJA 2017 s. 164,2017-03-24,Ett rättshjälpsbiträde som är ombud kan inom ramen för det uppdraget begära ersättning av huvudmannen för åtgärder i en del av ett mål som inte omfattas av rättshjälpen. För en sådan kostnad kan motpart som förlorar målet bli ersättningsskyldig enligt 18 kap. rättegångsbalken.,"Rättegångskostnad, Rättshjälp",T,18,M.M.,Pw,B.A.,Pm
T 4982-11,NJA 2012 s. 790,2012-11-23,"En tvist har ansetts vara förlikningsbar och har därför kunnat avgöras genom skiljedom, trots förekomsten av tvingande svenska och utländska materiella lagbestämmelser. En part i skiljeförfarandet har ansetts inte ha invänt att skiljeavtalet var ogiltigt och har därför inte haft rätt att åberopa den omständigheten till stöd för att skiljedomen ska upphävas efter klander.","Skiljedom, Skiljeavtal, Skiljeförfarande",T,18,Moscow City Golf Club OOO,Cf,Nordea Bank AB,Cs
T 5065-12,NJA 2014 s. 228,2014-04-02,En fastighet kan beredas rätten till ett servitut till väg på en annan fastighet enligt 49 § anläggningslagen endast om servitutet har en direkt anknytning till och är av väsentlig betydelse för behovet av enskild väg för samfärdsel och transporter till och från fastigheten.,"Enskild väg, Servitut, Fastighetsbildning",T,19,"M.H.,M.J. ","Pm,Px",Kommunen,Om
T 513-15,NJA 2016 s. 482,2016-06-10,En underrättelse till hyresgästen enligt 12 kap. 58 § jordabalken ska lämnas även när uppsägningen görs med stöd av 12 kap. 46 § utsökningsbalken efter köp av fastigheten på exekutiv auktion .,"Besittingsskydd , Exekutiv försäljning av fast egendom, Hyresavtal,  Uppsägning",T,19,Solstadens Motorsport,Is,Karlstads kommun,Om
T 515-15,NJA 2016 s. 442,2016-06-01,Bestämmelsen om rätt till efterarv i 3 kap. 8 § äktenskapsbalken omfattar också fall då efterarvsrätt för den som är arvsberättigad har föreskrivits även i testamente. Det gäller i den mån testamentet inte utesluter en tillämpning av bestämmelsen.,"Arvsberättigad,  Efterarv , Testamente,  Sekundosuccessor",T,12,Allmänna arvsfonden,Oa,"C.E.,M.E.,K.O.L.","Px,Px,Px"
T 5180-11,NJA 2013 s. 842,2013-10-18,Statens skadeståndsansvar enligt 3 kap. 2 § skadeståndslagen och enligt Europakonventionen när en miljösanktionsavgift har dömts ut trots att tillräckliga påståenden rörande förutsättningarna för ett sådant ansvar inte hade framställts i målet.,"Skadestånd, Anklagelseakt, Legalitetsprincipen, Fel eller försummelse, Medvållande, Ren förmögenhetsskada, Ideell skada, Rättsmedel, Gottgörelse",T,23,Kezban i Göteborg AB,Cs,staten genom Justitiekanslern,Os
T 5183-16,NJA 2017 s. 1094,2017-12-22,Försträckning? Fråga om bevisbördan i en situation där det står klart att en överföring har skett men det råder delade meningar om överföringens innebörd.,"Bevisbörda, Försträckning, Penninglån",T,6,Ta.A.,Pm,A.A.,Pm
T 5189-12,NJA 2013 s. 1190,2013-12-23,"Avräkningsordningen. Om en gäldenär har flera skulder och en viss skuld tydligt skiljer ut sig från de övriga genom att en underlåten betalning är förenad med särskilt betungande rättsföljder för gäldenären, så ska en odestinerad betalning räknas av mot den skulden, om de förhållanden som föranleder den betungande rättsföljden har varit uppfattbara för borgenären.","Avräkningsordningen, Fordran, Skuld, Avhysning",T,6,Bostadsrättsföreningen Fjällsidan,Es,C.B.,Pm
T 5213-10,NJA 2011 s. 907,2011-12-28,"Enligt 3 § godtrosförvärvslagen består ägarens rätt till egendom som har frånhänts honom genom bl.a. stöld även om den har förvärvats i god tro. Om ett godtrosförvärv har skett före ikraftträdandet av bestämmelsen, har dock ägarens rätt gått förlorad.","Godtrosförvärv, Övergångsbestämmelser, Vindikation",T,6,Värmlands Nation i Uppsala,Xs,R.E.H.,Pm
T 5408-11,NJA 2012 s. 711,2012-11-08,"En person har, när han skulle avvisas från en restaurang, hotat och utövat visst våld mot en ordningsvakt. Ordningsvakten har inte ansetts berättigad till ersättning för kränkning enligt 2 kap. 3 § skadeståndslagen.","Skadestånd, Kränkningsersättning, Kränkning, Ordningsvakt",T,23,åklagaren,Oa,R.B.,Pm
T 5435-16,NJA 2003 s. 37,2017-11-21,"Vid återvinning enligt 4 kap. 5 § konkurslagen har det subjektiva rekvisitet, att medkontrahenten borde ha känt till gäldenärens insolvens, ansetts innefatta en undersökningsplikt för medkontrahenten i de situationer där omständigheterna är ägnade att väcka misstankar om gäldenärens insolvens.","Återvinning, Insolvens, Ond tro",T,10,Intercontainer (Scandinavia) Aktiebolags konkursbo,Xs,Swemaint Aktiebolag,Cs
T 5453-15,NJA 2016 s. 791,2016-09-02,"En skadegörare har ansetts ha åberopsbördan för omständigheter som kunde föranleda ett frångående av den s.k. bruttometoden vid beräkning av skadestånd för inkomstförlust. Skadegörarens inställning, att det yrkade beloppet inte kunde vitsordas , innebar inte att han hade fullgjort denna åberopsbörda .","Åberopsbörda , Skadestånd, Inkomstförlust, Bruttometod",T,"18,23","åklagaren,Sekretess A","Oa,Pw",H.D.,Pm
T 5516-12,NJA 2014 s. 323,2014-04-23,Staten har bedömts vara ersättningsskyldig för ideell skada vid avregistrering av svenskt medborgarskap (jfr 1 kap. 1 § och 2 kap. 7 § regeringsformen).,"Skadestånd, Regeringsformen, Medborgarskap, Ideell skada",T,"23,5",B.P.,Pm,staten,Os
T 5537-10,NJA 2012 s. 441,2012-06-20,Kvittning i konkurs. Den omständigheten att konkursförvaltaren hade avtalat med en borgenär om hur dennes skuld till konkursgäldenären skulle betalas har inte hindrat att borgenären kunnat betala skulden genom kvittning mot en konkursfordran.,"Konkurs, Frysningsprincipen, Kvittning, Novation",T,"10,6",Nyombygg i Örebro AB:s konkursbo,Cs,R.L.,Px
T 5582-15,NJA 2017 s. 482,2017-06-14,Vid fördelningen av regressansvar ska beloppsbegränsad proprieborgen och tredjemanspant i regel behandlas lika.,"Borgen, Tredjemanspant, Regress",T,6,F.M.,Pm,R.W.,Pm
T 5628-12,NJA 2014 s. 332,2014-04-23,Med stöd av bemyndigande i lag meddelade regeringen en förordning som begränsade fisket i Torne älvs fiskeområde. Bestämmelsen i 2 kap. 18 § regeringsformen i dess lydelse före den 1 januari 2011 (nuvarande 2 kap. 15 §) har ansetts ge uttryck för en allmän rättsgrundsats om rätt till ersättning för rådighetsinskränkningar i vissa fall. Staten har med stöd av denna princip ansetts ersättningsskyldig gentemot ett antal fiskare för den ekonomiska förlust som kan ha uppkommit för dem till följd av de restriktioner i fisket som infördes genom förordningen.,"Skadestånd, Regeringsformen, Egendomsskydd, Rådighetsinskränkning,  Ekonomisk skada",T,5,"P.D.,S.D.,P.G.,K.I.,T.I.,B.L.,S.L.","Px,Px,Px,Px,Px,Px,Px",Justitiekanslern,Oa
T 5670-10,NJA 2012 s. 597,2012-10-11,"Kontraktstolkning samt konkurrerande skadeorsaker. En entreprenör har ansetts skyldig att utge förseningsvite, som har kopplats till anläggningens idrifttagande, fastän idrifttagandet skulle ha försenats också på grund av en sidoentreprenörs dröjsmål.","Avtalstolkning, Vite, Skadeståndsskyldighet, Konkurrerande skadeorsaker, Entreprenad",T,6,Staten genom Vägverket,Os,Fortum Generation Aktiebolag,Cs
T 5702-11,NJA 2013 s. 736,2013-07-10,För att en efterarvinge ska ha rätt till ersättning enligt 3 kap. 3 § ärvdabalken måste egendomens värde normalt ha minskat med i vart fall en fjärdedel.,"Arv,  Efterarv , Efterlevande make",T,12,"M.S.,M.W.O.","Px,Px",E.W.,Pw
T 5757-15,NJA 2016 s. 1132,2016-12-22,Fråga om betalningsskyldighet för mervärdesskatt efter överlåtelse av nedskriven kundfordran.,"Fordran, Mervärdesskatt, Fordringsöverlåtelse",T,6,PI Finans AB,Cs,A.W.,Px
T 5779-10,NJA 2012 s. 858,2012-12-13,Tillämpning av de aktiebolagsrättsliga kapitalbristreglerna. Frågor rörande betydelsen av en fastställd årsredovisning och ansvar för styrelseledamot som har inträtt under ansvarsperioden.,"Aktiebolag, Kapitalbrist, Årsredovisning, Styrelseledamot",T,7,Martin Olsson Restauranghandel Aktiebolag,Cs,"Å.N.,S.N.","Pm,Pm"
T 5911-15,NJA 2016 s. 1176,2016-12-28,"Solidariskt ansvar för penningskuld. En borgenär, som efterger sin fordran mot en gäldenär utan övriga gäldenärers samtycke, kan som utgångspunkt inte längre göra gällande medgäldenärernas ansvar för gäldenärens andel, i den utsträckning som gäldenären befrias genom eftergiften.","Solidariskt ansvar, Eftergift, Regress",T,6,SevenDay Finans AB,Cs,R.H.,Pm
T 5926-11,NJA 2014 s. 425,2014-06-12,Sedan ett tåg lastat med klorgas spårat ur kräver mottagaren av godset ersättning för räddningskostnader. De enhetliga rättsreglerna för avtal om internationella järnvägstransporter har ansetts reglera ersättningsansvaret fullständigt på så sätt att ersättning för kostnaderna inte kan utgå med stöd av allmänna transporträttsliga eller förmögenhetsrättsliga principer. Även fråga om urspårningen har orsakats genom kvalificerad vårdslöshet enligt de enhetliga rättsreglerna.,"Internationell järnvägstransport, Ersättning, Grov vårdslöshet",T,23,Akzo Nobel Industrial Chemicals BV,Cf,Green Cargo AB,Cs
T 6008-16,NJA 2017 s. 981,2017-12-07,"Styrelsen i ett aktiebolag har, med anledning av uppgifter om att en aktieägare överlåtit sina aktier, på eget initiativ strukit aktieägaren i aktieboken. Strykningen har bedömts sakna laglig grund och aktieägaren har därför behållit sin rätt att föra talan mot stämmobeslut i aktiebolaget.","Talan mot bolagsstämmobeslut, Aktiebok, Aktiebolag, Talerätt",T,"7,18",Bure Equity AB,Cs,Rushrail AB,Cs
T 6015-11,NJA 2013 s. 966,2013-11-20,Beräkningen av skälig ersättning enligt lagen (2000:171) om förbud beträffande viss avkodningsutrustning ska grunda sig på den tid under vilken det olovliga utnyttjandet har ägt rum och på den avgift som tas ut vid lovligt nyttjande . Utrymmet för jämkning av ersättningen är mycket litet.,"Avkodningsutrustning, Skälig ersättning, Skadestånd, Jämkning",T,"23,8","Allmän åklagare,Canal Digital Sverige AB","Oa,Cs","B.H.,K.L.","Pm,Pm"
T 6030-15,NJA 2017 s. 261,2017-04-11,Beräkning av förlust för en rörelsedrivande lokalhyresgäst som sagts upp utan befogad anledning.,Sjukhuskaféet,T,19,I.H.,Pm,Stockholms läns landsting,Om
T 6169-15,NJA 2016 s. 1057,2016-12-20,"Samäganderätt. Ägarna till samägd egendom presumeras svara, var och en i förhållande till sin andel, för kostnader för åtgärder som någon av dem med övrigas samtycke vidtar för förvaltning eller förbättring av egendomen. I målet hade en av två makar ådragit sig en skuld för förbättringsarbeten på en samägd fastighet. Vid bodelning med anledning av den andra makens död ansågs ansvaret för skulden delat .","Samäganderätt, Kostnadsansvar, Skuldansvar, Bodelning",T,"12,6",L.D.R.T.,Pw,G.J.,Pm
T 631-10,NJA 2011 s. 755,2011-11-11,Fråga om preskription vid återvinning i konkurs.,"Preskription, Återvinning i konkurs, Olovlig kapitalanvändning",T,"6,10,18",Embozia Förvaltning Aktiebolag i likvidations konkursbo,Es,Everfresh Group AB,Cs
T 81-12,NJA 2013 s. 711,2013-07-04,"Parkeringsmål. Har en betalningsuppmaning ställts ut, eller en parkeringsanmärkning meddelats, finns det en presumtion för att den också har fästs på bilen (I). En fordonsägares uppgifter och egna fotografier har lämnat visst utrymme för bedömningen att parkeringsvakten kan ha förbisett att det fanns en giltig parkeringsbiljett som var väl synlig och läsbar utifrån. Parkeringsvaktens anteckningar på parkeringsanmärkningen har inte ansetts utgöra tillräcklig bevisning för att det skett en felparkering (II).","Felparkering, Olovlig parkering, Parkeringsanmärkning, Bevisvärdering",T,"6,1","Gothia Financial Group AB,M.L.S.","Cs,Pw","R.H.,polismyndigheten","Pm,Oa"
T 814-15,NJA 2016 s. 900,2016-11-08,Transport av passagerare med flyg enligt Montrealkonventionen. Försening har inte ansetts ge rätt till ersättning för ideell skada i form av förlorad fritid. Även fråga om domstol på eget initiativ ska beakta specialpreskription.,"Passagerartransport, Montrealkonventionen, Ideell skada, Preskription, Försening",T,6,"R.H.,S.P.H.","Px,Px",Thai Airways International PCL,Cf
T 854-12,NJA 2013 s. 795,2013-09-19,Att det finns alternativa upplåtelseformer hindrar i normalfallet inte ledningsrätt. Sådan rätt förutsätter inte heller att sökanden först har försökt komma överens med markägaren. Att ansökningen avser allmän plats är inte i sig något hinder mot ledningsrätt.,"Ledningsrätt, Allmän plats, Telekommunikation, Förhandlingsplikt",T,19,Malmö kommun,Om,Svenska UMTS-nät AB,Cs
T 881-12,NJA 2013 s. 253,2013-04-04,"Enligt en rättsskyddsförsäkring förlorade försäkringstagaren sin rätt, om han inte framställde sitt anspråk till försäkringsbolaget inom viss tid från det att han hade ""fått kännedom om sin fordran"". Tidsfristen har ansetts börja löpa när försäkringstagaren anlitade ombud i tvisten.","Rättsskyddsförsäkring, Försäkring, Preskription",T,23,Foyen Advokatfirma Kommanditbolag,Cs,HSB Engineering Insurance Ltd,Cs
T 950-11,NJA 2012 s. 685,2012-11-01,Ersättning från trygghetsförsäkring för arbetsskada som har tillerkänts skadelidande för lyte och men ska enligt allmänna skadeståndsrättsliga principer avräknas från trafikskadeersättning som begärs för samma skada.,"Trafikskadeersättning, Lyte och men, Trygghetsförsäkring, Avräkning, Sammanträffande av ersättningar",T,23,H.U.,Pw,If Skadeförsäkring AB ( publ .),Cs
T 960-15,NJA 2016 s. 945,2016-11-03,Skadestånd vid partiell skada på byggnad.,"Skadestånd, Partiell sakskada, Reperationskostnad, Sakskada",T,23,Länsförsäkringar Skåne,Cs,J.J.,Pm
B 1001-05,NJA 2005 s. 878,2005-12-16,Fråga om straffbestämning för lagöverträdare under 18 år.,"Påföljd,Straffbestämning,Straffmätning,",B,8,åklagaren,Oa,M.A.,Pm
B 1014-06,NJA 2006 s. 375,2006-06-08,"Tidigare ostraffad gärningsman, som gjort sig skyldig till flera tillgreppsbrott, har utvisats på grund av återfallsrisk.","Utvisning,Återfallsrisk",B,8,åklagaren,Oa,B.T.,Pm
B 1050-05,NJA 2005 s. 805,2005-11-29,I en predikan har gjorts nedsättande uttalanden om homosexuella. Åtal för hets mot folkgrupp har ogillats med hänvisning till Europakonventionens artiklar 9 och 10.,"Hetsmotfolkgrupp,Europakonventionen,",B,8,åklagaren,Oa,Å.G.,Pm
B 1055-02,NJA 2002 s. 489,2002-11-06,"Medhjälp till våldsamt upplopp. Fråga om de tilltalade, som befann sig i en lägenhet i Göteborg, tillsammans och i samförstånd främjat våldsamma upplopp i samband med EU-toppmötet i juni 2001 genom att systematiskt samla in och vidarebefordra uppgifter om polisens verksamhet.","Våldsamtupplopp,Medhjälp",B,8,åklagaren,Oa,"A. B.,M. J.,A. L.,S. J. N.,S. U. N.,R. S.,M. W.,H. S.","Pm,Pw,Pm,Pw,Pw,Pm,Pm"
B 1119-02,NJA 2003 s. 599,2003-12-16,"Ett företag som utövade miljöfarlig verksamhet med tillstånd enligt MB har försatts i konkurs, varvid konkursboet övertagit driften av verksamheten. Fråga om konkursförvaltaren kan åläggas straffansvar för att miljörapport avseende kalenderåret före konkursutbrottet inte inlämnats i tid. 26 kap. 20 § samt 29 kap. 5 och 11 §§ MB. När tilltalad som begärt ersättning av allmänna medel för rättegångskostnader i lägre rätt dömts till ansvar av den rätten men frikänns av högre rätt, har den högre rätten oberoende av ändringsyrkande ansetts kunna pröva yrkandet om ersättning för rättegångskostnader i den lägre rätten. (Jfr beträffande den senare frågan 1994 s. 515)","Försvårandeavmiljökontroll,Konkursförvaltare,",B,11,åklagaren,Oa,G.G.,Pm
B 1130-07,NJA 2009 s. 751,2009-11-18,En person har till sin fars offentlige försvarare överlämnat en gåva. Fråga om bestickning och mutbrott.,"Advokat,Bestickning,Mutbrott,Offentlig",B,8,åklagaren,Oa,"N.D.,P.L.","Pm,Pm"
B 1170-05,NJA 2007 s. 3,2007-01-12,Fråga om en bilförare som kört på en fotgängare sedan hon bländats av solen gjort sig skyldig till vårdslöshet i trafik.,Vårdslöshetitrafik,B,8,åklagaren,Oa,S.A.,Pw
B 1178-07,NJA 2007 s. 624,2007-10-03,Val av påföljd för två ungdomar som vid 15 respektive 18 års ålder gjort sig skyldiga till mened.,"Brottspåföljd,Ungdomstjänst,Mened,",B,"8,18",åklagaren,Oa,"E.E.,N.H.","Pw,Pw"
B 119-06,NJA 2006 s. 467,2006-07-06,Ett flygblad som spritts i en skola har innehållit uttalanden om homosexuella. Fråga om spridningen är att bedöma som hets mot folkgrupp. (Jfr NJA 2005 s. 805.),"Hetsmotfolkgrupp,Europakonventionen,",B,"8,5",Allmän åklagare,Oa,"F.V.,M.H.,B.T.,N.L.","Px,Px,Px,Px"
